Poly Bridge 2 - W0264 "Weekly Challenge #264" any% leaderboard (* = breaks)
Updated 2025-09-16T00:44:09.996Z
25/36 unique ranks shown

    1. $44,821  martlart
   *2. $45,501  wylie5cents
   *3. $47,363  ReDeYeJeDi
    4. $51,284  cojy
   *5. $51,569  buksan4
   *6. $52,974  crime_TOSTig
    7. $56,562  honky
    8. $58,533  silverchario2
    9. $63,540  takayoshi_0111
   10. $64,299  おいちゃん
  *11. $66,283  alaincorbe55
  *12. $66,373  Rebnox69
   13. $68,131  jeremywinick
  *14. $69,995  crash1340
  *15. $94,933  Hollandic
  *16. $99,028  Jan_Niek
  *17. $99,924  peter.m.mausbach
   18. $102,126 kaktus
   19. $103,467 okanehoshii100000000
  *20. $116,645 higgi6
   21. $116,776 sakulasia
  *22. $132,291 niklasyannis
  *23. $136,636 Jaron.rabus
  *24. $138,362 stephan_bobek
  *25. $139,383 nimajneb8825
