Poly Bridge 2 - 3-10 "Shafted" any% leaderboard (* = breaks)
Updated 2021-08-11T00:24:43.823Z
1000/49655 unique ranks shown

 *914. $16,418 bbdanny
  915. $16,419 Pamani
  916. $16,422 Caboose
  917. $16,423 xxmtg4
  918. $16,423 Icarus
  919. $16,424 Bill Nye The Nazi Spy
  920. $16,429 sampo.palokangas
  921. $16,429 bob
  922. $16,431 daniel.gilesthornbory
  923. $16,432 Intropy
  924. $16,433 misdirects
  925. $16,435 Mtoshiaki
  926. $16,435 MGC
  927. $16,438 Fartrell Cluggins
  928. $16,439 Senior Muchacho
 *929. $16,440 robertmdavidson
  930. $16,440 Rockzo
  931. $16,440 Kolvarg
  932. $16,441 fitzgibb
  933. $16,442 EmVee
  934. $16,442 2042023997
  935. $16,447 Mayaaaaa
 *936. $16,448 Monsieur Spock
  937. $16,450 Bat
  938. $16,452 kitschmensch
  939. $16,452 Siggi
  940. $16,452 Wither Handaru
  941. $16,454 KahlanDragonblood
  942. $16,454 cool wine aunt
  943. $16,457 KahuDaKillah
  944. $16,458 Desty
  945. $16,459 떡실신13호
  946. $16,459 BillBruh
 *947. $16,459 evildragon520
  948. $16,462 jimmy the constructor
  949. $16,463 Metal Arigon
  950. $16,464 Arvid
  951. $16,464 ilmcamam
  952. $16,468 twatling
  953. $16,470 mcmath
  954. $16,472 Cremefraiche
  955. $16,475 vRViPeRx
  956. $16,483 ryanmtb93
  957. $16,485 Apicedda
  958. $16,487 AwesomeDavid
  959. $16,488 Tmonnn
  960. $16,491 JammyPhantom
  961. $16,492 SuryaGamingVROH
  962. $16,493 andrew265191
  963. $16,493 witchcat27
  964. $16,494 Wollensokje
  965. $16,495 Ledaled
  966. $16,496 Mazzo
  967. $16,497 cbeckman88
  968. $16,498 Maximiliaande5de
  969. $16,501 troublerabbit
  970. $16,502 urbantrickster
  971. $16,504 letterA
  972. $16,504 kuporific
  973. $16,504 debiedries
  974. $16,505 loog
  975. $16,505 牙膏君去考研啦
  976. $16,507 Piu-Piu Epta
  977. $16,507 Definitely not a pile of trash
  978. $16,509 bryced16122001
 *979. $16,513 Immabird
  980. $16,514 NinjaBRK
  981. $16,514 Daedamid
  982. $16,519 Judi Hench
  983. $16,522 me
  984. $16,527 Brevbe
  985. $16,527 Tyunne
  986. $16,529 B Y
  987. $16,532 rileycomstock
  988. $16,535 manojmact
  989. $16,535 Pointblank
  990. $16,538 Jagdwyre
  991. $16,538 Wow!
  992. $16,539 Ethanantic
  993. $16,540 FirstMonarch
  994. $16,543 RIOT Snoww
  995. $16,545 Mdogboy
  996. $16,548 Kotto4Ever
  997. $16,549 Aetherllama
  998. $16,550 BoredJoe
  999. $16,550 UrGreat
 1000. $16,552 No Hope
