Poly Bridge 2 - W0242 "Weekly Challenge #242" any% leaderboard (* = breaks)
Updated 2025-04-16T00:48:02.601Z
40/44 unique ranks shown

   *1. $7,304  PP
    2. $9,531  dolfyn.t
    3. $10,345 Billy Mays Here
    4. $10,385 lairasan
    5. $10,570 hoizklezl
    6. $10,615 フールス
    7. $10,680 Neur
    8. $11,000 leff.yashin2015
    9. $11,863 kryckmannen
   10. $11,872 buksan4
   11. $12,113 irciron
   12. $12,443 Cirrocumulus02
   13. $13,617 canevarijp
   14. $13,751 joey
   15. $14,256 jhsung01
   16. $14,488 Whovianluke1
   17. $14,714 TheGodFather
   18. $14,889 hsfbc188
   19. $14,960 ezekiel.mihopoulos
   20. $15,028 InSaNe|GR
   21. $15,068 Distive`
   22. $15,668 junsei1214
   23. $16,451 minecraftlegend1336
   24. $16,489 豆浆烩面
   25. $17,336 Porcupinz
   26. $18,360 Raincellz
   27. $18,518 Ahtzee
   28. $18,954 Fireel
   29. $22,300 1983 Nissan Shitbox
   30. $22,531 crash1340
   31. $22,757 shah_tina
   32. $22,882 sodaprince79
   33. $23,856 おいちゃん
   34. $24,626 pavlova0779
   35. $25,681 3256201730
   36. $29,529 brettadc
   37. $29,608 coryspringer41
   38. $29,642 gajisai
   39. $34,283 carol_mulhall
   40. $57,977 Ravenfire145
