Poly Bridge 2 - 4-16 "Don't Leave Me" any% leaderboard (* = breaks)
Updated 2023-02-18T00:36:37.594Z
1000/40766 unique ranks shown

  922. $28,995 Zeru-el
 *923. $28,996 XFighter
  924. $29,004 Jormungandr
  925. $29,005 AL | IgnaciØ1516
  926. $29,006 christopher193829
  927. $29,013 MaMumsCar
  928. $29,021 Aaron.
  929. $29,027 kingcaiden66
  930. $29,030 lazy comet
  931. $29,031 mederic974
  932. $29,031 nelwan.grondin
  933. $29,032 MetaColon
  934. $29,042 YOUASS
  935. $29,043 Anesthetics.
  936. $29,043 DMAK
  937. $29,045 ThePhilosopher
  938. $29,054 andrewede
  939. $29,054 AHarmlessPenguin
  940. $29,056 InsertNick
  941. $29,060 nutrium
  942. $29,060 hernansis
  943. $29,064 dclark13
  944. $29,066 Kayjaad
  945. $29,068 Harold
  946. $29,079 DaggerDoom
  947. $29,081 Seymoore
 *948. $29,085 Viridian
  949. $29,087 fabiharry
  950. $29,087 nikola.radivoj1
  951. $29,091 Fanny
  952. $29,094 wlimpie
  953. $29,100 ELTON1804
 *954. $29,104 ☠☠☠YYD☠☠☠
  955. $29,111 Ubundi
  956. $29,113 junes_69
  957. $29,117 Negritito
  958. $29,118 injuzxy0423
  959. $29,123 tylerhbateman
 *960. $29,124 Hadex
  961. $29,127 枯守一扇门
  962. $29,127 theo
  963. $29,128 immrawesomo
 *964. $29,129 floofiepoes
  965. $29,130 Badkamer
  966. $29,132 umikhee3
  967. $29,134 pirateKaiser
  968. $29,135 Dimpan
  969. $29,136 Patrick the Pure
  970. $29,138 finger.christian
  971. $29,139 엔기
  972. $29,149 Farnworth
  973. $29,152 fay
  974. $29,157 ClassyDoubleJR
  975. $29,160 Jake Beaver
  976. $29,165 TopicDogg
  977. $29,166 1850884041
  978. $29,167 Floatato
  979. $29,170 zhffl12
 *980. $29,171 Steph.
  981. $29,177 Pence
  982. $29,177 Croisssant
  983. $29,179 Jakobs
  984. $29,179 SgtMike
  985. $29,185 BOT PhilAce
  986. $29,192 Schniz
  987. $29,193 ilia.gureev
  988. $29,199 1541397267
  989. $29,201 ki1law
  990. $29,203 Thunderbird9
  991. $29,204 jonytorcato
  992. $29,205 Saltlesspasta
  993. $29,208 Bob Bobbob
  994. $29,209 Öst
  995. $29,212 LuckyBoomer
  996. $29,213 Delta-T(UI)
  997. $29,217 Red_Lhok
  998. $29,219 mbutton15
 *999. $29,219 Sherry.
 1000. $29,228 Blackyyyy
