Poly Bridge 2 - 4-16 "Don't Leave Me" any% leaderboard (* = breaks)
Updated 2023-02-18T00:36:37.594Z
1000/40766 unique ranks shown

  212. $25,239 snowhugger7
  213. $25,244 gabriel.ns0312
  214. $25,279 cliff007
  215. $25,292 jikennosamurai
  216. $25,306 emil_mniszko
  217. $25,307 BluePhoenix109
  218. $25,324 zMg
  219. $25,329 riDDi
  220. $25,333 hightimeshoward
  221. $25,345 Shikto
  222. $25,345 R
  223. $25,347 goldenpggie
  224. $25,350 Yuri Tarded
  225. $25,380 20Jezza04
  226. $25,382 Aklhys
  227. $25,388 FrzMtrsprt
  228. $25,403 Mr Ben
  229. $25,421 cam
  230. $25,421 Ben Pls
  231. $25,428 jeremywinick
  232. $25,442 ZiuTinyat
  233. $25,443 1745167207
 *234. $25,450 jackrunchy
  235. $25,463 Reto
  236. $25,478 just_z00t
  237. $25,485 infiniteSelves
  238. $25,489 lcmbo
  239. $25,492 benevanssmith
  240. $25,493 Vallyr
  241. $25,494 Winznator
  242. $25,498 TWSman
  243. $25,499 ViLiV
 *244. $25,510 ShrexyBeast
  245. $25,512 Gaotosky10
  246. $25,512 ItsBurga
  247. $25,527 LittleLloyd
  248. $25,528 ShadowMirrorzZ
 *249. $25,547 Dubious
 *250. $25,557 DualCoreCPU
  251. $25,564 Natme
  252. $25,595 hmx0311
  253. $25,605 joel.rspence
 *254. $25,606 Tater_Taco
  255. $25,610 vojtech_holub
  256. $25,610 ydakilux
  257. $25,612 gidrodox
  258. $25,616 le caca
  259. $25,624 Shrobo
  260. $25,625 Weirdone
  261. $25,643 Trollhand
  262. $25,651 therrieur
  263. $25,654 The984
  264. $25,654 Shieber
 *265. $25,657 mikiethepenguin
  266. $25,668 jakemccullagh
 *267. $25,668 HappyFishboy
  268. $25,674 Shifter Serif
  269. $25,674 『　　』
  270. $25,675 BossZocktLP
  271. $25,680 -mushinbush-
  272. $25,701 Amadeus
 *273. $25,704 Bob Johnson
  274. $25,709 Stackocakes
  275. $25,709 Big Fudge
  276. $25,711 Saverin
  277. $25,716 TesllaTea マックス
  278. $25,731 lilo_we
  279. $25,733 giraffester
  280. $25,737 Kennetsu
  281. $25,738 Tryrik
 *282. $25,740 dylanwenger9
 *283. $25,749 jaredkazoo
  284. $25,750 Nick_Llama
 *285. $25,760 Thunder McKing
  286. $25,773 Sexy Boy Industries [woop]
  287. $25,775 tqqq3
  288. $25,786 βεη
  289. $25,789 Jan_Niek
  290. $25,793 Drake84
  291. $25,796 ado
  292. $25,807 HaN2Zy
  293. $25,826 Dobbler
  294. $25,836 Rocket Steve
  295. $25,838 bille
  296. $25,844 DaPain
  297. $25,855 WedbeXx
 *298. $25,864 vivalarebellion
 *299. $25,873 radimaulicky
  300. $25,875 dinosaur.feish20114
  301. $25,880 adaminwyoming
 *302. $25,911 AltheBino
  303. $25,920 mooseman0423
  304. $25,924 魂牽於夢
  305. $25,930 minime003
  306. $25,933 CFF-Andre
  307. $25,936 shin
  308. $25,937 jcmag
  309. $25,942 liquor snurf
 *310. $25,957 jason.fritsch18
  311. $25,978 plush
 *312. $25,979 CheesyGamer201
  313. $25,990 Painless
  314. $25,990 Sqmue1
 *315. $25,990 SCHM1TTY
 *316. $25,995 Terra_Pringles
  317. $25,996 tmg2
  318. $25,998 sebastian.d.higgins
 *319. $26,002 exmirt
  320. $26,024 Frost
  321. $26,026 Ustas
  322. $26,029 00frank
  323. $26,046 itsiques2x
  324. $26,071 PepperCorn
  325. $26,075 MokeVro
  326. $26,078 TheRealDarius
  327. $26,090 Jubbykim
  328. $26,092 Oskar
  329. $26,096 [COCC] Spenceabean
  330. $26,103 mathewnorton006
  331. $26,105 382845377
 *332. $26,105 ssiwt
  333. $26,118 Wibbily Wobbily Timey Wimey
  334. $26,121 JoelCadence
  335. $26,135 canat
  336. $26,139 Marcin
  337. $26,141 maxblue456
  338. $26,152 Carg01
  339. $26,167 ep0d
  340. $26,173 Ethan
  341. $26,175 plight
  342. $26,177 Maelstrom
  343. $26,179 bindai66
 *344. $26,182 哎呦微
  345. $26,190 LeonardRodriguez
  346. $26,200 Arid
  347. $26,202 Comrade Lazy Shpee
  348. $26,204 Treharr
  349. $26,217 silverSeb
  350. $26,227 Leevi
  351. $26,229 Pilou
 *352. $26,229 Kreeony
  353. $26,245 El Mauricio
  354. $26,251 fitzgibb
  355. $26,300 BuLL3T
  356. $26,315 Minute Maid Orange Juice
  357. $26,332 The Chairbreaker
  358. $26,354 Wildst
  359. $26,354 39205090
  360. $26,367 Potter
  361. $26,369 Enchanted Spider
  362. $26,373 Draradech
  363. $26,376 squish92
  364. $26,381 Argontic
  365. $26,383 LUGΞЯUИ
  366. $26,387 Cyber Chimp
  367. $26,395 Ossi Eastborn
  368. $26,397 Cálcio ATPase
 *369. $26,399 Michuley
  370. $26,403 Garguth
  371. $26,416 wapcaplet88
 *372. $26,420 magister001
  373. $26,421 Ray12467
  374. $26,430 Jacowboy
  375. $26,435 Hampa
  376. $26,435 fourthpanda
  377. $26,451 DildoBike
  378. $26,456 trickstar90
  379. $26,456 AdmiralChu
  380. $26,459 xDJICDx
  381. $26,477 KahlanDragonblood
  382. $26,478 Trox
  383. $26,491 damose
  384. $26,495 madmax95
  385. $26,500 Spectral Ducklin
  386. $26,507 Speed_Granny
 *387. $26,511 cioris
  388. $26,519 CrashtestBlowme
  389. $26,529 SilveryBeard
  390. $26,538 Bubi
  391. $26,539 Alexey
 *392. $26,563 Teh
  393. $26,577 Yup
  394. $26,581 anwsnyder
  395. $26,583 No problem.
  396. $26,586 Waifu Art Thou Romeo
  397. $26,590 jacobsoccer66
  398. $26,595 JynErso
  399. $26,608 Raz
  400. $26,641 Cix
 *401. $26,663 TanAttorney2000
  402. $26,666 RACTUM
  403. $26,667 olivapaa
  404. $26,668 Texas Red
  405. $26,668 Klasseee
  406. $26,683 jakesoft
 *407. $26,684 HerzogWhy
 *408. $26,686 Hennieson
 *409. $26,697 knightRider0xD
  410. $26,699 Kingfisher
 *411. $26,702 Shmojelfed
  412. $26,704 mrhleask
  413. $26,709 Skroomoomin
  414. $26,715 Sam
  415. $26,717 cyrocket
  416. $26,724 Ronald B
  417. $26,730 towelietrippin
  418. $26,730 SoulWager
 *419. $26,737 El3ktron
  420. $26,740 fusselraupe
  421. $26,749 matfeichtenberger
  422. $26,755 serge_slp
 *423. $26,760 owen430s
  424. $26,761 goatscheesegorilla
  425. $26,797 schwiftyking
 *426. $26,812 Sir Ansambel
  427. $26,816 Jim On Toast
  428. $26,840 Nec
  429. $26,844 OhdrahdaKanabehaxn
 *430. $26,856 Dazd
  431. $26,859 King Pickle
  432. $26,860 lukeflaxman02
  433. $26,869 Retrorocket
  434. $26,874 3633133329
  435. $26,877 Jassuuuuu
  436. $26,881 patrick.erasmus
 *437. $26,886 Nedcut
  438. $26,891 nobledrewt
  439. $26,892 Anthonyscar240
  440. $26,893 FyreNA
  441. $26,921 Konfuselius
  442. $26,924 Ogremor
 *443. $26,928 guaranteed_whales
  444. $26,930 Whyit1
  445. $26,936 Creedrah
  446. $26,946 CursorCoercer
  447. $26,950 Mind
  448. $26,953 Black175
  449. $26,953 ✬ KIngar
  450. $26,957 Fausto Aranha
 *451. $26,968 The_Vaccine
  452. $26,970 Superden30
  453. $26,978 2heavy2carry
 *454. $26,989 omdidit
  455. $26,996 SIL3NCE BR0
  456. $26,998 camilogar
 *457. $27,000 auntratty
 *458. $27,007 Godsmith
  459. $27,018 CR7
  460. $27,033 djbjonik
  461. $27,059 Mikso09_Key-Drop.com
  462. $27,069 Stefanie Mustafo Gustav Michel
  463. $27,069 小理kori
  464. $27,070 Erik the best
  465. $27,071 TWB
  466. $27,074 Mike Wheeler
  467. $27,074 nomis
 *468. $27,075 LUCAS1
 *469. $27,077 ih8057776
 *470. $27,095 shj17333
  471. $27,099 Quazetiq
  472. $27,113 Momo
  473. $27,123 MuuuSnack
  474. $27,131 Damen
  475. $27,131 Jenniferrr
  476. $27,148 angelsrule934
 *477. $27,160 harrisks
  478. $27,161 VenomlessCZ
  479. $27,165 gray squirrel
  480. $27,181 Toe Knee
  481. $27,189 Vendetta
  482. $27,191 天一
  483. $27,194 MellowyYellowy
  484. $27,198 Crow of judgement
  485. $27,200 dakta
 *486. $27,203 .
  487. $27,218 Vepix
  488. $27,232 percyyeung2003
  489. $27,246 9847
  490. $27,247 Max
  491. $27,253 Thendarion
  492. $27,253 [WB] Finny0125
 *493. $27,257 kevinobrien112
  494. $27,258 mineball115
  495. $27,258 Tyreek
 *496. $27,271 MeowArre
  497. $27,274 Weebil
  498. $27,279 jclark28884
  499. $27,281 Jonny Cage
 *500. $27,284 Chunderthighs
  501. $27,287 fixor
  502. $27,294 HammeR
  503. $27,295 toon.heylen
  504. $27,306 glaura.kartalian
 *505. $27,313 rjpaige3
  506. $27,316 CS2100
  507. $27,322 Houki
  508. $27,332 jan.haavkes
  509. $27,334 ys09
  510. $27,335 Geese are Hot
  511. $27,337 pawelspeed
  512. $27,338 The Real Daniel
  513. $27,340 Lanilor
  514. $27,344 -M-
  515. $27,349 MrAbel
  516. $27,352 vtc
