Poly Bridge 2 - 1-10 "First Jump" any% leaderboard (* = breaks)
Updated 2022-10-08T00:44:57.365Z
1000/404496 unique ranks shown

   *1. $282   9k5
   *2. $283   Lagiiiie
   *3. $283   ALiCe
   *4. $283   akkun_ouo
   *5. $438   Shadow
   *6. $477   somefakegamer
   *7. $499   Trygeve
   *8. $499   Cookieblues
   *9. $533   からず
  *10. $617   minecat
  *11. $628   Dusty
  *12. $634   Crimson
  *13. $634   palfly15
  *14. $639   thenoob9487
  *15. $781   MOD
  *16. $781   geroniberry
  209. $6,475 deltamstr
  210. $6,490 sky
  211. $6,494 625288246
 *212. $6,497 GF——LONGWU
  213. $6,499 Tecnarca
  214. $6,512 laerling
  215. $6,520 Master_timmsy
  216. $6,533 Disabeast
 *217. $6,543 fearless_77777
  218. $6,545 zfg1000
  219. $6,548 Jormungandr
 *220. $6,549 Sheepy
  221. $6,552 Alvieee
  222. $6,555 samuelaxelsson05
  223. $6,555 WRXIzumi
 *224. $6,562 Rex
  225. $6,566 Merio
  226. $6,569 Luuroon
  227. $6,580 Lagrange
 *228. $6,580 Da Real Inventor
 *229. $6,585 SzGamer227
  230. $6,590 nicholaskirkpatrick06
  231. $6,615 Benjamin
  232. $6,617 king_bibishweter
 *233. $6,624 PaperCatago
  234. $6,624 Rhono
  235. $6,628 Herneerius
  236. $6,644 prolog
 *237. $6,658 BOT.Looney
 *238. $6,664 FUBAR
  239. $6,675 miles
 *240. $6,678 AerialBomber
 *241. $6,685 Skretchii
  242. $6,694 XxTrollFacexX
 *243. $6,700 The Floating Llama
 *244. $6,708 JUKERA
  245. $6,713 TurtleByte
 *246. $6,719 Road To Grand Champion
  247. $6,727 Fix
 *248. $6,728 Kromch
 *249. $6,731 你好丶
  250. $6,738 master me
 *251. $6,745 Daolord FruitPunch
  252. $6,747 ChaoGuoGuo
  253. $6,747 power ranger guy
  254. $6,750 blankk76
  255. $6,750 AwesomeHolden6
 *256. $6,760 HelloPixoris
  257. $6,767 vhex
  258. $6,768 Spectral Ducklin
