Poly Bridge 2 - 1-06C "First Drawbridge" unbreaking leaderboard
Updated 2026-06-06T02:01:53.211Z
1000/35775 unique ranks shown

    1. $1     Chayoneko
    2. $599   +!-_?/
    3. $599   akkun_ouo
    4. $599   Nebula_Bebula
    5. $799   9k5
    6. $799   Lagiiiie
    7. $1,099 Monlig-滑地上之小稽
    8. $1,816 maxblue456
    9. $1,816 Quillslash
   10. $2,017 からず
   11. $3,715 Icysnowman
   12. $3,715 Happer
   13. $4,370 Trygeve
   14. $4,499 minecat
   15. $4,527 St3rd_
   16. $4,544 Catatafrog
   17. $4,556 抱歉不予顯示
   18. $4,581 moonrid3r
   19. $4,582 Valnix
   20. $4,590 Zen
   21. $4,595 7777Alex7777
   22. $4,597 alex
   23. $4,598 Honn
   24. $4,599 NICKPLAYS7
   25. $4,600 DeOwl
   26. $4,606 helmetman
   27. $4,609 DrSoepbal
   28. $4,609 seutimsyab
   29. $4,616 Tryrik
   30. $4,616 RippeR
   31. $4,622 ScamMeister
   32. $4,628 GuacamoleLover27
   33. $4,628 MOD
   34. $4,630 Go Seigen
   35. $4,633 Soba
   36. $4,638 Kasen08
   37. $4,645 -mushinbush-
   38. $4,652 Kroinkie
   39. $4,653 cfloyd2002
   40. $4,660 Enchanted Spider
   41. $4,664 504874975
   42. $4,668 robertrusu108
   43. $4,668 Crimson
   44. $4,675 Cix
   45. $4,676 krakes656
   46. $4,686 adambrianschmidt
   47. $4,688 junyo0605
   48. $4,688 笑靥
   49. $4,690 BaconPancakes
   50. $4,692 MagnusTagMus
   51. $4,696 ☠☠☠YYD☠☠☠
   52. $4,696 XxTrollFacexX
   53. $4,699 Heater
   54. $4,715 goldenpggie
   55. $4,715 Squog
   56. $4,723 Bellair08
   57. $4,747 johnsonofdonut
   58. $4,752 Cookieblues
   59. $4,761 ZKJ
   60. $4,766 Harkler
   61. $4,792 Ethire
   62. $4,794 palfly15
   63. $4,802 Roevhaal
   64. $4,812 PP
   65. $4,833 Bl.u
   66. $4,842 Kalorienreduziert
   67. $4,844 Daymaker187
   68. $4,858 marian
   69. $4,862 lairasan
   70. $4,872 TheSadSlinky
   71. $4,873 knarkuz91
   72. $4,879 Mega Rayquaza
   73. $4,903 Rugs
   74. $4,906 KLIEART
   75. $4,907 TucLTU
   76. $4,915 『　　』
   77. $4,923 CursorCoercer
   78. $4,927 JakubBouska
   79. $4,928 San Witch
   80. $4,934 𝑬𝑹2020
   81. $4,937 uselessuser2023
   82. $4,941 joshmellors61
   83. $4,950 sebastian.d.higgins
   84. $4,970 Hydkiz
   85. $4,995 Wadusher
   86. $4,998 NyteShade
   87. $5,025 Johannes652
   88. $5,026 TheCubeN00B
   89. $5,030 local person
   90. $5,031 Gaotosky10
   91. $5,045 kraal
   92. $5,048 DJDDM
   93. $5,048 Alison
   94. $5,080 Bandthemen
   95. $5,097 Herneerius
   96. $5,105 mikiethepenguin
   97. $5,117 QuantiumIm
   98. $5,122 Larry the Dota Guy
   99. $5,141 fantakilla
  100. $5,152 Kidsune
  101. $5,154 sim1manson
  102. $5,164 gtspeedie
  103. $5,166 plush
  104. $5,169 jonaTHOT
  105. $5,192 kenny
  106. $5,194 Qwin
  107. $5,202 bastian.bello.c
  108. $5,204 Toe Knee
  109. $5,204 ado
  110. $5,213 shasta.pete
  111. $5,227 <Q_Q>
  112. $5,237 Zenowo
  113. $5,249 TomyTom
  114. $5,252 craftingtacos
  115. $5,259 Confirm NotJonah
  116. $5,272 Den4ik
  117. $5,275 loganstephensmith
  118. $5,286 CertifiedHappy
  119. $5,295 ~ <@=:
  120. $5,298 cyko
  121. $5,300 Dummy Thicc Watermelon
  122. $5,313 AwesomeHolden6
  123. $5,315 Blake_The_Builder
  124. $5,317 Jhay80416
  125. $5,326 squidmonkey
  126. $5,326 instant karma
  127. $5,331 SoulWager
  128. $5,338 crocka123
  129. $5,348 Chufus
  130. $5,354 jason.fritsch18
  131. $5,355 Wareya
  132. $5,360 CompterMan
  133. $5,362 ma23
  134. $5,368 Supernye
  135. $5,373 thatrandomtoad
  136. $5,373 Fathom
  137. $5,374 Dark Comedy
  138. $5,378 piewilldie
  139. $5,389 MrSethles
  140. $5,393 Chipper
  141. $5,393 d.neels
  142. $5,398 DuuSuu
  143. $5,402 能天使天下第一
  144. $5,407 Pimpstyle9008
  145. $5,409 bfnguyen.14
  146. $5,410 Rick Sanchez
  147. $5,415 olivapaa
  148. $5,419 DildoBike
  149. $5,420 e
  150. $5,423 Morgothor
  151. $5,424 The_Vaccine
  152. $5,428 C4TNinja
  153. $5,430 ms0719584
  154. $5,441 Arbeitsloser Trümmertürke
  155. $5,441 3362403498
  156. $5,446 Tarontos
  157. $5,453 Venin
  158. $5,454 ha
  159. $5,455 Weirdone
  160. $5,468 ShadeyBounty
  161. $5,469 ultimatedgambler
  162. $5,472 ObviousTroll_
  163. $5,479 Reto
  164. $5,479 iglootop
  165. $5,481 StarchBoy417
  166. $5,496 lee731017
  167. $5,501 dominik-peyer
  168. $5,516 Krait1943
  169. $5,517 maxjmiles
  170. $5,525 gimo2740
  171. $5,526 Jormungandr
  172. $5,529 torry
  173. $5,533 quaggy
  174. $5,539 hæmoride henning
  175. $5,545 CypherTault
  176. $5,546 chrisrothenhoefer
  177. $5,557 -=Skriem=-
  178. $5,561 Seizure
  179. $5,576 firep_erik
  180. $5,577 I don't wanna do this anymore 🎮
  181. $5,595 loganpedraza
  182. $5,597 PrincessPon3
  183. $5,607 Papi Gelapi
  184. $5,611 GoodMath
  185. $5,614 TRUDOG29
  186. $5,619 Kapo
  187. $5,621 northern cross
  188. $5,650 Totori
  189. $5,661 snille tante andreas
  190. $5,675 nokipoika
  191. $5,676 Nigi9002.
  192. $5,687 InfinitySay
  193. $5,690 Shadow
  194. $5,693 Elemental Corgi
  195. $5,715 Tomimator
  196. $5,719 ProfessorBiddle
  197. $5,721 Affax
  198. $5,724 Scampsss
  199. $5,725 A Purple Giraffe
  200. $5,750 YaMa
  201. $5,781 300IQ
  202. $5,788 Allanb
  203. $5,822 tonyz01234
  204. $5,823 Alexey
  205. $5,824 Buldulin
  206. $5,829 Berixis
  207. $5,849 4hud
  208. $5,891 NetEng
  209. $5,895 Mopar Madness
  210. $5,896 .
  211. $5,918 HappyPiggy
  212. $5,929 Face7
  213. $5,937 Z.R. Stein
  214. $5,941 aj27harris
  215. $5,945 dee
  216. $5,966 Ryan
  217. $5,971 lunanski
  218. $5,994 516603686
  219. $6,001 175077847
