Poly Bridge 2 - W0295 "Weekly Challenge #295" any% leaderboard (* = breaks)
Updated 2026-05-04T01:48:43.012Z
34/39 unique ranks shown

   *1. $10,999  akkun_ouo
    2. $39,236  416751869
    3. $48,493  wylie5cents
    4. $50,092  Hadrel
    5. $56,350  TwBloodStar
    6. $63,534  alaincorbe55
    7. $64,247  lillian918416
    8. $68,570  963378633
    9. $68,988  kryckmannen
   10. $69,266  AI:DPPB
   11. $73,796  Asool
   12. $76,372  irciron
   13. $78,475  hejok6464
   14. $82,808  justinzhou73
   15. $85,776  rudecash
   16. $86,906  riaan32
  *17. $87,252  2685731200
   18. $87,549  didacfg12
   19. $88,611  おいちゃん
   20. $91,041  proikan
   21. $94,851  okanehoshii100000000
  *22. $97,962  Billy Mays Here
  *23. $103,959 noble_night_sky
  *24. $108,202 坤坤666
   25. $113,398 Ulysses97
   26. $115,257 brettadc
   27. $120,462 yuki_dukki
  *28. $124,950 Solar_Flare_Voyager
   29. $125,591 LetsplayKorbini
   30. $129,131 donovanjackhilton2009
   31. $130,924 598268837
   32. $140,386 Yeseth
   33. $140,854 Clomado
   34. $142,637 jeremywinick
