Poly Bridge 2 - W0005 "Weekly Challenge #5" any% leaderboard (* = breaks)
Updated 2025-10-26T00:53:56.135Z
577/638 unique ranks shown

   *1. $20,682  veggie stix
    2. $22,555  Cookieblues
    3. $23,401  BeljihnWahfl
    4. $25,333  ellisk1
   *5. $26,610  fantakilla
    6. $26,616  jonaTHOT
    7. $26,716  Heater
    8. $28,086  Trygeve
    9. $29,999  Dregu
   10. $30,769  TheSadSlinky
   11. $30,928  -1-1-
   12. $30,977  chefsj05
   13. $32,940  At424
   14. $33,326  Draradech
   15. $33,445  mbutton15
   16. $33,863  SAM45!!!
   17. $33,994  marr
   18. $33,999  palfly15
   19. $34,157  ProfessorParker
   20. $34,414  BaconPancakes
   21. $34,625  Big Dick Brian
   22. $34,741  XxTrollFacexX
   23. $34,992  Jhay80416
   24. $35,353  ViLiV
   25. $35,588  chrisrothenhoefer
   26. $35,784  arvin900
   27. $36,159  No U
   28. $36,368  MOD
   29. $36,921  clayc21
   30. $37,344  lionale29ten
   31. $37,539  special_K
   32. $37,580  TheCopperWire
   33. $37,591  bolt986
   34. $37,655  ToastyIce
   35. $37,794   Arabic In My Blood 
   36. $38,582  Bull Moose
   37. $38,986  CasualSanta
   38. $39,119  Julius969d
   39. $39,342  Realyum
   40. $39,489  The Mighty Swash
   41. $39,647  goaljim1
   42. $39,779  minecat
   43. $39,844  celesteal
   44. $39,999  DeathBone
   45. $41,420  nhaven14
  *46. $41,625  Honn
   47. $42,086  JustKeepSwimming
   48. $42,307  Bushy
   49. $42,446  alex
   50. $42,499  zezetel
   51. $42,551  drehermoreland
   52. $42,981  ⛧łmbo⛧
   53. $43,051  Jeevus
   54. $43,227  PooperScooper
   55. $43,621  Jordan
   56. $43,723  bigggheaded
   57. $43,781  park002
   58. $43,810  Geese are Hot
   59. $43,842  wonsnot
   60. $44,237  bille
   61. $44,457  CursorCoercer
  *62. $44,546  BW
   63. $44,942  topkekmao
   64. $44,946  Friar Laurence
   65. $45,033  zhaohuaye54
   66. $45,213  sherry-hampton
   67. $45,256  Crimson
   68. $45,922  SwordlessMimeTown
   69. $46,000  Bobby Boi
   70. $46,481  EZ RUSSA
   71. $46,554  909043381
   72. $46,827  simon.green
   73. $46,916  Atomguy
   74. $46,924  Uniquepotatoes
   75. $47,247  ma23
   76. $47,398  dooomguy98
   77. $47,625  Bakshot
   78. $47,639  randomh3ro813
   79. $47,922  Baldur
  *80. $48,660  Oatball
   81. $49,079  MKBridger
   82. $49,087  jtornqvist
   83. $49,535  Jacky McJackFace
   84. $49,613  Exceptionally Mediocre
   85. $49,791  That Guy
   86. $50,146  chrischen94
   87. $50,216  Crydust
   88. $50,396  Turnbitch
   89. $50,699  Arak'nae
   90. $50,864  Man Mage
   91. $51,041  sonnysony1
   92. $51,049  josiyun1
   93. $51,441  davidloh
   94. $51,455  Valnix
   95. $51,905  ashduino101
   96. $52,273  gthompson1129
   97. $52,513  kuziranawa
   98. $52,606  M47145dg
