Poly Bridge 2 - 6-12 "Mind the Gap" any% leaderboard (* = breaks)
Updated 2025-10-09T00:45:54.027Z
1000/2305 unique ranks shown

 *942. $47,789 dickreiter
  943. $47,865 Mr​​​ ​​​Nukealizer
  944. $47,893 willows1979
  945. $47,973 315Lukas
  946. $47,998 gdfksj
  947. $47,999 Netr1X
  948. $48,026 nils
  949. $48,055 donanzador
  950. $48,056 DePenguen
  951. $48,094 !?
  952. $48,139 A Wild Mongoose
  953. $48,141 Jakob D
  954. $48,143 casper
  955. $48,226 Mulalu
  956. $48,256 Dogg1
  957. $48,258 xXSIRNOOBXx
  958. $48,261 유니
  959. $48,271 maltz
  960. $48,299 Herneerius
  961. $48,304 Angryhatter
  962. $48,318 viramoshonorio10
  963. $48,343 ferd
  964. $48,360 felipegr27
  965. $48,362 Allex173
  966. $48,379 ^Kevin^
  967. $48,387 Ronald B
 *968. $48,387 JEDI DETHKARZ
  969. $48,404 very sad
  970. $48,414 jannekloeffler
  971. $48,424 c.schmitt
  972. $48,427 Not Demi
  973. $48,430 DarkHeldoro
  974. $48,430 justsomeguy
  975. $48,430 aaronmcfly™ #MelonGang
  976. $48,430 Milgerastas
  977. $48,430 yys432
  978. $48,430 Flaming llama
  979. $48,430 DudeAreShowering
  980. $48,430 Coco
  981. $48,430 Jacek Klakson
  982. $48,430 HIKKA
  983. $48,430 Ani
  984. $48,430 Kitabatake
  985. $48,430 xeno
  986. $48,430 SurelyNotJoshua
  987. $48,430 Skyraptor
  988. $48,430 BloodTrail
  989. $48,430 Rex____
  990. $48,430 Treots
  991. $48,430 JustAnotherHappyGamer
  992. $48,430 azkeelyt0909
  993. $48,430 ⛩长艮▲马与⛩
  994. $48,430 Sanninme No Rikudo
  995. $48,430 Belle Delphine
  996. $48,430 naching5
  997. $48,430 SmoothPixel
  998. $48,430 myura5
  999. $48,430 Sløwpøke
 1000. $48,430 trust gamble
