Poly Bridge 2 - 4-07 "Big Spender" any% leaderboard (* = breaks)
Updated 2025-11-01T00:53:22.759Z
1000/81167 unique ranks shown

   *1. $299   akkun_ouo
   *2. $299   Dusty
   *3. $312   9k5
   *4. $326   Chris
   *5. $330   Lagiiiie
   *6. $345   somefakegamer
   *7. $355   Monlig-滑地上之小稽
   *8. $420   Cookieblues
   *9. $438   LilliNeko
  215. $8,700 HawkEyed
  216. $8,703 YES BUT WHY?
  217. $8,714 m4w30
  218. $8,715 MYC
  219. $8,718 ZiuTinyat
  220. $8,724 3255053433
  221. $8,725 Skretchii
  222. $8,731 boy_1der
  223. $8,731 Entropics
  224. $8,737 JakubBouska
  225. $8,753 auntratty
  226. $8,754 lsh09080706
  227. $8,757 123
  228. $8,758 ruphia1776
  229. $8,758 Georgette gamer
  230. $8,763 TheGameGamer_jayahn0909
  231. $8,764 tuftoark
  232. $8,764 btheg
  233. $8,766 19191919191p
  234. $8,767 Exit
  235. $8,768 DaggerDoom
  236. $8,768 montventoux13
  237. $8,770 836496550
  238. $8,770 holzingerphilip
  239. $8,772 jeremywinick
  240. $8,772 BillBruh
  241. $8,775 MrSquirrelDeDuck
  242. $8,777 negreiros.fernando
  243. $8,777 ruhkfu
  244. $8,778 k01530
  245. $8,781 주황기사
  246. $8,783 Twococos
  247. $8,786 ᠌
  248. $8,788 junjw0702
  249. $8,792 Noobmaster69
 *250. $8,794 Yaky
  251. $8,796 JHAAT KA RAJA
  252. $8,797 Da Real Inventor
  253. $8,800 rku78
  254. $8,802 DOROGA
  255. $8,803 Ezurth
  256. $8,803 alfu
  257. $8,803 tom_jerry_johan
  258. $8,806 Mark.Ho
  259. $8,806 Holyballsinhell
  260. $8,807 AwesomeHolden6
  261. $8,808 kimthomas0464
  262. $8,808 zephyrwords
  263. $8,808 sy.area
  264. $8,810 snow8411222
  265. $8,811 Pickle Rick
  266. $8,811 PutinKlung
  267. $8,811 1723945294
  268. $8,812 leerry
  269. $8,815 mjlee4358
  270. $8,816 asx39
  271. $8,821 isaacmckee111
  272. $8,822 DuuSuu
  273. $8,822 ngzoonpark
  274. $8,824 *****ok123
  275. $8,829 heyokidoki
  276. $8,830 Steph.
  277. $8,830 ImThatOrphan
  278. $8,834 Mikru
  279. $8,836 Shmojelfed
  280. $8,837 mos31f
  281. $8,839 E
 *282. $8,839 not stonks
  283. $8,841 NotVerySalty
 *284. $8,841 Fradex
  285. $8,842 step1999
  286. $8,844 Rup
  287. $8,845 Jahmackat
  288. $8,845 yuna12527
  289. $8,848 Камушек
  290. $8,848 OgelGames
  291. $8,850 kjylove2
  292. $8,852 gks123__
  293. $8,852 tylerjamesdoyle
  294. $8,852 Ahansayo
  295. $8,853 Rene
  296. $8,854 DamienT
  297. $8,855 bastian.bello.c
  298. $8,857 HMGuitarist
  299. $8,859 uselessuser2023
  300. $8,860 NightCorn89
  301. $8,861 Babobabko
  302. $8,865 𝐫𝐨𝐚𝐝𝟏
  303. $8,867 hippo9497
  304. $8,868 xWizZyv
  305. $8,868 chs8113
  306. $8,869 e
  307. $8,870 ski
  308. $8,871 Croney
  309. $8,871 Jormungandr
  310. $8,874 寂寞男孩
  311. $8,876 ⛧łmbo⛧
  312. $8,876 Luuroon
  313. $8,878 Lucestre
  314. $8,878 あなたはイエス様に愛されている。
  315. $8,879 sebastian.d.higgins
  316. $8,879 hyominxy
  317. $8,880 喵喵喵~
  318. $8,881 wescaple
  319. $8,882 featc08
  320. $8,882 nikola.radivoj1
  321. $8,885 justinfreak
  322. $8,885 Ogremor
  323. $8,886 The Doctor
  324. $8,886 Witch Parker
  325. $8,888 olivapaa
  326. $8,888 gajisai
  327. $8,888 Waifu Art Thou Romeo
  328. $8,890 KAPPPS
  329. $8,890 woodshed
  330. $8,891 PLYURSR
  331. $8,891 heogeon5
  332. $8,892 drakviggo
  333. $8,892 ViktorL6600
  334. $8,894 yougene1969
  335. $8,897 tacdo79
  336. $8,897 Niceness
  337. $8,898 Photon Cowboy
  338. $8,898 Sgt. Byrd
  339. $8,898 Jerms
 *340. $8,898 zinc
  341. $8,899 alicele14
  342. $8,899 Pez_Kitty
  343. $8,900 GoldenHillK
  344. $8,900 crispy cock
 *345. $8,900 stonks
  346. $8,901 Swiftus
  347. $8,901 non victus
  348. $8,902 sonny
  349. $8,903 liquor snurf
  350. $8,903 benburke810
  351. $8,903 meohakko
  352. $8,905 2959605113
  353. $8,907 Gremlin Gamer
  354. $8,909 TimZower
  355. $8,909 DildoBike
  356. $8,909 Junior
  357. $8,909 Charles_F_Adams
  358. $8,909 tjl0707
  359. $8,911 Slim
  360. $8,913 xote125
  361. $8,913 remo
  362. $8,914 CursorCoercer
  363. $8,914 Myculz
  364. $8,914 witchcat27
 *365. $8,914 HappyFishboy
  366. $8,917 Jugernaut73
  367. $8,918 ado
  368. $8,918 seokjoo.lee1
  369. $8,919 Shieber
  370. $8,920 Matt
  371. $8,920 Dandic Game
  372. $8,920 CS2100
  373. $8,921 alvdh
 *374. $8,921 DŔΛZYӾƬѴ
  375. $8,922 clacombe
  376. $8,924 YALDY
 *377. $8,926 rhys_nayler
  378. $8,928 iiEffectz
  379. $8,928 SilasJensen
  380. $8,928 akaps78
  381. $8,929 Jaso
  382. $8,930 MeLLo
  383. $8,930 Dolkslab
  384. $8,931 kyle.j.myers
 *385. $8,932 torry
  386. $8,933 Cathor
  387. $8,934 HaN2Zy
  388. $8,935 nt
  389. $8,936 Zallist
  390. $8,936 Vyen
  391. $8,936 newman05er
  392. $8,937 Failstream
  393. $8,937 boop79
  394. $8,941 Old Fashion
  395. $8,941 jason.fritsch18
  396. $8,942 Lightybear
  397. $8,942 joshwoz118
  398. $8,943 Dylan gaming
  399. $8,944 dnememr
  400. $8,947 jtornqvist
  401. $8,948 sonhyuk1
  402. $8,949 H e g e
  403. $8,950 Tayeu
  404. $8,950 TheRocket
  405. $8,951 Xzone
 *406. $8,952 htN
  407. $8,953 jinchoolee
  408. $8,954 LucasOriginal
  409. $8,955 ThatDamnJackal
  410. $8,956 LAMEAT
  411. $8,957 TesllaTea マックス
  412. $8,959 big_boi
  413. $8,962 MagnusTagMus
  414. $8,964 tryc
  415. $8,964 GnzGamer
  416. $8,964 Jaws8
  417. $8,965 cioris
  418. $8,966 Questwizard
  419. $8,966 King Hippo
  420. $8,966 Gargarmehl
  421. $8,966 CARAMEL' _
  422. $8,967 SmokedawgXD
  423. $8,967 Cix
  424. $8,967 gavinberke2008
  425. $8,968 にぼし＠六尾
  426. $8,971 vtothec
  427. $8,971 jessexie606
  428. $8,974 LeMar28
  429. $8,974 allan.elwood
  430. $8,975 ChampionKyle
  431. $8,978 L_E_P_E_H_A
  432. $8,979 jihyuk0407
 *433. $8,979 BeastyMs
  434. $8,980 xuve2
  435. $8,981 dmtjmurphy
  436. $8,981 taehui7510
  437. $8,982 MyFictitiousLife
  438. $8,983 ABKteam61
  439. $8,985 vany365 cs.money
  440. $8,985 jakob
  441. $8,986 sdren
  442. $8,986 drew335
  443. $8,986 L05ECa10
  444. $8,986 Drew.H01
  445. $8,987 hun20326
  446. $8,989 rufopufo
  447. $8,991 bamsic
  448. $8,991 Ace_Falken
  449. $8,991 syndicate
  450. $8,992 isaac94643837isaac
  451. $8,993 k03rnch3n
  452. $8,994 cirwo
  453. $8,994 ashleyjung19
  454. $8,995 xiayong72
  455. $8,997 evilslug19
  456. $8,998 Peridios
 *457. $8,998 wetlands
  458. $8,999 popcorniosaurus
  459. $8,999 Porsche993
  460. $8,999 一只狗
  461. $8,999 Wow_Pro
  462. $9,000 clhampy
  463. $9,000 -mushinbush-
  464. $9,001 Hotrod4132
  465. $9,002 The Duggler!!
  466. $9,003 moskittle
  467. $9,005 acgoalie
  468. $9,006 VeggieBurrito
  469. $9,006 u73826
  470. $9,007 c7375320
  471. $9,007 hakkielek
  472. $9,008 Nebol
 *473. $9,009 Zorak
  474. $9,011 PheonixScale9094
  475. $9,014 SparkFast
  476. $9,015 Number 1
  477. $9,015 daiku-cafe
  478. $9,017 ClownRay
  479. $9,017 Megaone_44 YT
  480. $9,019 zMg
  481. $9,019 nitsuga5124
  482. $9,020 DevilSquirrel
  483. $9,021 Sublime
  484. $9,022 DrSquishy
  485. $9,023 Turnip
  486. $9,023 spencer.t.brown
  487. $9,028 소구르빵
  488. $9,028 3rdkindpark
  489. $9,033 Robot
  490. $9,034 Packman
  491. $9,034 ecaps1017
  492. $9,034 feeetmcyeet
  493. $9,034 kmgunjun
  494. $9,035 marcelvalize
  495. $9,038 고등어
  496. $9,038 Raxee
  497. $9,038 tokisuzu
  498. $9,038 pixeljhl
  499. $9,039 kadigeN
  500. $9,041 tiomiya
  501. $9,042 420 Baked Potato
  502. $9,044 Bruder42
  503. $9,046 The one who KNOCKS
  504. $9,046 Hippo
  505. $9,046 trevorlimruns
  506. $9,047 Rehukt
  507. $9,047 Nuclear
  508. $9,047 lunarukifer
 *509. $9,047 chai.jerry
  510. $9,048 ✪ CrazyAsian
  511. $9,048 Marko
  512. $9,048 tzh654321
  513. $9,049 pporo
  514. $9,050 trickof
  515. $9,052 Teokun
  516. $9,054 floofiepoes
  517. $9,055 Bogan Muso
  518. $9,055 andrewrubio817
 *519. $9,056 svcb642868
  520. $9,060 ibobibo
  521. $9,061 BeLeVa
  522. $9,061 maxblue456
  523. $9,063 Ecks
  524. $9,063 Grodis
  525. $9,064 vinzenz
  526. $9,064 joshua.barnett279
  527. $9,065 Affax
  528. $9,066 KHRAQQO
  529. $9,067 michaelandbrother
  530. $9,068 ldy5572
  531. $9,068 NEON_Ninja
 *532. $9,068 alex.woolf
  533. $9,069 silverstar2007
  534. $9,071 Monsieur Spock
 *535. $9,071 Nnemon
  536. $9,072 joel.rspence
  537. $9,073 Kosher Karambwan
  538. $9,074 BruSV_07
  539. $9,075 mafre1726
  540. $9,076 sm730316
  541. $9,077 harti_77
  542. $9,077 Surf
  543. $9,078 Bantakiwi
  544. $9,079 bees
  545. $9,079 Hater*107
  546. $9,079 小雞
  547. $9,082 Dad
  548. $9,082 Xeoran
  549. $9,082 lishagong
  550. $9,083 jmx
  551. $9,083 Art Vandelay
  552. $9,084 兔粮
  553. $9,085 KingKnäuschen
  554. $9,086 992600401
  555. $9,088 kslee888
  556. $9,090 Lord Of Beans
  557. $9,090 Gamemacke08
  558. $9,090 GeorgeZZ
 *559. $9,090 simon_xu
  560. $9,092 ☠☠☠YYD☠☠☠
  561. $9,092 josiyun1
  562. $9,092 tpghks0201
  563. $9,092 AengJun
  564. $9,093 Cows_Say_Oink
  565. $9,093 maculator
 *566. $9,093 ArchivalQuill41
  567. $9,094 GR 25
  568. $9,095 hussmail
  569. $9,095 Nigi9002.
  570. $9,095 elliottxsoh
  571. $9,096 Gugaluz22
  572. $9,097 Tupper
 *573. $9,097 BigBrother6
  574. $9,098 infiniteSelves
  575. $9,098 Crow08
  576. $9,098 fearless_77777
  577. $9,099 Papi Gelapi
  578. $9,099 Hanking_LOL
  579. $9,100 Eb1toad
  580. $9,101 ZeeDurpey
  581. $9,102 corD
  582. $9,102 dengizbabajanov2
  583. $9,103 Niess
  584. $9,103 lookyeye
  585. $9,104 Tephrite
  586. $9,104 FishBeers
 *587. $9,104 to915
  588. $9,105 prTz
  589. $9,105 texsoh
  590. $9,105 Argentum2347
  591. $9,106 aliteraltree7433
  592. $9,107 Big Buddha
  593. $9,108 hyung7583
 *594. $9,108 leaper-1
  595. $9,109 Flaming llama
  596. $9,111 HONK
  597. $9,112 Mitch Szlachetka
  598. $9,112 4EverB00STED
  599. $9,113 BqllPoint
  600. $9,113 Moliopp
  601. $9,113 alexander.solli
 *602. $9,115 loganstephensmith
  603. $9,116 Sanaru
  604. $9,116 KR(I)SU
  605. $9,117 BadJujumagumbo
  606. $9,117 oliver6644
 *607. $9,117 The Funk
  608. $9,118 blackduckrun
  609. $9,118 yoona.dct
  610. $9,119 jibulii
  611. $9,121 520JJDa
  612. $9,121 Eenith
  613. $9,121 Banguela_HD
  614. $9,122 arnold.kroeger
  615. $9,123 dnruddldi
  616. $9,125 Berixis
  617. $9,125 grmills0213
  618. $9,125 hermit.09
  619. $9,125 Count_Alatar
  620. $9,127 就是个弟弟
  621. $9,127 satan_rian
  622. $9,127 Cherry
  623. $9,128 jan_fue
  624. $9,128 AkiraSann13
  625. $9,130 Dumbtree
  626. $9,130 banananess0ne
  627. $9,131 Iamsodagood
  628. $9,131 SWINGRIPPERTHEGOD
  629. $9,131 Fox B
  630. $9,131 tobybrundin
  631. $9,133 stapletonryan67
  632. $9,135 kevinr
  633. $9,137 blackspring1996
  634. $9,138 ddhliu89
  635. $9,139 BotEugene
  636. $9,140 gurch
  637. $9,140 Basic_Redstone
  638. $9,141 joshuapark0104
  639. $9,141 dlehdduq227
  640. $9,142 LunarSquid
  641. $9,142 Alexey
  642. $9,142 LightDragon
  643. $9,142 BenjaminCat
 *644. $9,142 Floppy 01
 *645. $9,143 dannywong444
  646. $9,144 Bandthemen
  647. $9,145 小小少年★★★
  648. $9,146 BenjaminHockers
  649. $9,146 magugan0
  650. $9,149 Herneerius
  651. $9,149 Mc.Nuts
  652. $9,149 Esix_The_Great
  653. $9,150 chowchunfu
  654. $9,150 Kee
  655. $9,150 Kentockly
  656. $9,152 zachery199000
  657. $9,152 Jetamket
  658. $9,153 djssl58
  659. $9,153 cliff007
  660. $9,154 ekard_drake
  661. $9,154 inv > Smesh
  662. $9,156 Cowboy
  663. $9,156 FeuerLucca
  664. $9,156 sunjae.hong1
  665. $9,158 Mr. Sketch Scented Markers
  666. $9,158 uni0615
  667. $9,159 Haca
  668. $9,159 T.Winters
  669. $9,159 lollotroll
  670. $9,159 Buri
  671. $9,159 Tommy™
  672. $9,160 1319321595
  673. $9,162 emil_St1
  674. $9,162 hurtooth
  675. $9,162 strax
  676. $9,163 chi885522
  677. $9,164 Invasian
  678. $9,164 andrewede
  679. $9,164 GTOK
  680. $9,165 grovolod
  681. $9,165 Patusiak
  682. $9,165 Genuine Sexism
  683. $9,165 CompterMan
  684. $9,167 Biwabik
  685. $9,168 󠀡󠀡󠀡󠀡󠀡󠀡󠀡󠀡
  686. $9,168 gxdy0125
  687. $9,168 눈초
 *688. $9,168 Windows 95
  689. $9,169 Vale
  690. $9,169 DUKE DUKEM
  691. $9,170 MillerGeek
  692. $9,170 SoulWager
 *693. $9,170 Romleth
  694. $9,171 junyu336
  695. $9,172 Neo
  696. $9,172 ghosttt90
  697. $9,175 刀刀刀丶刀刀致命
