Poly Bridge 2 - 4-07 "Big Spender" any% leaderboard (* = breaks)
Updated 2025-11-01T00:53:22.759Z
1000/81167 unique ranks shown

   *1. $299   akkun_ouo
   *2. $299   Dusty
   *3. $312   9k5
   *4. $326   Chris
   *5. $330   Lagiiiie
   *6. $345   somefakegamer
   *7. $355   Monlig-滑地上之小稽
   *8. $420   Cookieblues
   *9. $438   LilliNeko
  909. $9,325 King8_Xaver
 *910. $9,325 D4V1D_G
  911. $9,328 Calhoon
  912. $9,328 tianyu720419
  913. $9,328 dmanthomas17
  914. $9,329 ω  Neptune  ω
  915. $9,329 descrum
  916. $9,329 elElipa
  917. $9,332 thom821t
  918. $9,332 TucLTU
  919. $9,333 Leo G-G yt
  920. $9,333 djfwufffy
  921. $9,334 Asyxui
  922. $9,334 manishmanus
  923. $9,335 kamji05
  924. $9,339 h-feldhaus
  925. $9,339 Jake the dog
  926. $9,340 Beardy 24
  927. $9,340 connify 796
  928. $9,341 Deez_Noots
  929. $9,341 barameon
  930. $9,341 _Lord_
 *931. $9,341 lonjil
  932. $9,342 Bertje333
  933. $9,342 bj201604--
  934. $9,342 gkoliand
  935. $9,343 agoofymovie(1995)
  936. $9,343 minkyucho2527
  937. $9,343 titaniumtyson
  938. $9,346 SuperMidget_99
  939. $9,346 iris849
  940. $9,346 Axiom
  941. $9,347 tttttttttt
  942. $9,347 Bigboypanda625
  943. $9,348 felix.hitzig
  944. $9,353 Tectushay
  945. $9,353 jon
  946. $9,354 |FAQ-YU| Fishezzz
  947. $9,354 chiwon97
  948. $9,355 ☯
  949. $9,355 jaehoon01161
  950. $9,355 cream.s.taken
  951. $9,356 Lima
  952. $9,357 1428931615
  953. $9,358 Brutalponyrider
  954. $9,358 jihoon4u.kim
  955. $9,359 cscslove
  956. $9,359 vknaub27
  957. $9,359 Rixorn
  958. $9,361 pw
  959. $9,364 TAILUO
  960. $9,365 Ultra-MacDaddy
  961. $9,367 Zelda Sama
  962. $9,367 lejun
 *963. $9,367 hollebread
  964. $9,368 KyleCow
  965. $9,369 CALPAZAN
  966. $9,369 ddongho
  967. $9,371 -Rothus-
 *968. $9,371 Badgercat
  969. $9,373 tsutomu.kimura109
  970. $9,374 krag
  971. $9,375 Ollie
  972. $9,375 Terrigible
  973. $9,376 the_burner
  974. $9,376 Lundi
  975. $9,376 pismire0527
  976. $9,377 Lemon :)
  977. $9,379 klobásaomáčka
  978. $9,379 Mister_Kuh
  979. $9,379 Sycoraxe
  980. $9,379 slime
  981. $9,380 chadstacey
  982. $9,381 mirrormr
  983. $9,381 样么了么多
  984. $9,383 sk8chkn
  985. $9,383 Grimmov
  986. $9,387 chtty1010
  987. $9,390 Introvert_talks
  988. $9,390 lolrus26
  989. $9,390 minju6279
  990. $9,390 YT - Weegee
  991. $9,391 guswndud
  992. $9,392 resch10
  993. $9,393 1218824046
  994. $9,393 468244818
  995. $9,394 twexo18
  996. $9,397 척추펴세요
  997. $9,397 vmana
  998. $9,397 Bean
 *999. $9,397 TouchTheDog
 1000. $9,399 NetEng
