Poly Bridge 2 - W0294 "Weekly Challenge #294" any% leaderboard (* = breaks)
Updated 2026-04-21T01:25:00.232Z
44/58 unique ranks shown

   *1. $39,999  akkun_ouo
    2. $41,400  AI:DPPB
    3. $46,666  416751869
    4. $78,957  didacfg12
    5. $81,896  irciron
    6. $84,121  alaincorbe55
   *7. $94,928  lillian918416
    8. $96,081  bar3ann
    9. $99,032  おいちゃん
   10. $104,762 TwBloodStar
  *11. $119,020 noble_night_sky
  *12. $126,585 wylie5cents
  *13. $139,403 NUWEKODORI
   14. $141,949 sodaprince79
   15. $150,220 rudecash
  *16. $152,267 polacek.luky
  *17. $152,996 A Familiar Friend
   18. $154,077 jamiefoxcollins
   19. $155,725 Spoid
   20. $157,203 okanehoshii100000000
   21. $164,764 Hans
   22. $169,213 Hadrel
   23. $171,618 sabaku12
  *24. $174,363 hejok6464
   25. $174,415 matheusengelmannfarias
   26. $176,831 teo9goodjob
   27. $179,839 mk58437
   28. $179,914 brettadc
  *29. $184,795 Ujo_adam
  *30. $185,238 2685731200
  *31. $192,098 junering0121
   32. $193,656 GabyCab
   33. $198,815 Milkybuttertard
  *34. $199,228 donovanjackhilton2009
  *35. $202,771 oaleavens
  *36. $205,767 Czy jest na sali lekarz?
  *37. $209,944 Bernstein200
   38. $236,625 Oxionix
   39. $297,788 kozaksm
   40. $298,821 justus.holzi
   41. $307,342 crash1340
  *42. $309,725 dlwlsqja1004
  *43. $315,906 Akoli
   44. $358,549 hzinn
